Title,Genre,Director,Actors
visaaranai,"crime, drama, thriller",vetrimaaran,"dinesh, samuthirakani, anandhi, murugadass"
aaranya kaandam,"action, crime, thriller",thiagarajan kumararaja,"sampath raj, jackie shroff, ravi krishna, yasmin ponnappa"
kattradhu thamizh,"drama, mystery",ram,"jiiva, anjali, karunas, azhagam perumal"
kaakkaa muttai,"comedy, drama",m. manikandan,"ramesh, j. vignesh, aishwarya rajesh, ramesh thilak"
jigarthanda,"action, crime, drama",karthik subbaraj,"siddharth, bobby simha, lakshmi menon, nassar"
aruvi,drama,arun prabhu purushothaman,"aditi balan, padmashri mohammad ali, pradeep anthony, arnold"
thavamai thavamiruntu,drama,cheran,"cheran, raj kiran, padmapriya, saranya ponvannan"
autograph,romance,cheran,"cheran, sneha, gopika, kaniha"
vazhakku enn 18/9,"crime, drama, thriller",balaji sakthivel,"sri, mithun murali, urmila mahanta, manisha yadav"
subramaniapuram,"action, drama, thriller",m. sasikumar,"jai, m. sasikumar, swathi reddy, 'ganja' karuppu"
pizza,"horror, thriller",karthik subbaraj,"vijay sethupathi, ramya nambeeshan, aadukalam naren, karunakaran"
onaayum aattukkuttiyum,"action, crime, thriller",myshkin,"myshkin, sri, adithya menon, bharath"
naduvula konjam pakkatha kaanom,"comedy, drama",balaji tharaneetharan,"vijay sethupathi, gayathrie, bagavathi perumal, rajkumar"
paradesi,"drama, history",bala,"atharvaa murali, vedika, dhansika, jerry"
theeran adhigaaram ondru,"action, crime, thriller",h. vinoth,"karthi, rakul preet singh, abhimanyu singh, bose venkat"
maanagaram,"action, thriller",lokesh kanagaraj,"sundeep kishan, sri, regina cassandra, charlie"
7/g rainbow colony,"drama, romance",k. selvaraghavan,"sonia agarwal, chandramohan, ravi krishna, aachi manorama"
sathuranga vettai,"crime, thriller",h. vinoth,"nataraja subramanian, ishara nair, ponvannan, ilavarasu"
anjathe,"action, drama, thriller",myshkin,"narain, prasanna, ajmal ameer, vijayalakshmi"
vaagai sooda vaa,"comedy, drama, romance",a. sarkunam,"vimal, iniya, bhagyaraj, ponvannan"
angadi theru,drama,vasanthabalan,"mahesh, anjali, a. venkatesh, pandi"
mouna guru,"action, thriller",santha kumar,"arulnithi, iniya, john vijay, uma riyaz khan"
saala khadoos,"action, drama, sport",sudha kongara,"madhavan, nassar, radha ravi, kaali venkat"
kaaviya thalaivan,"drama, history, music",vasanthabalan,"siddharth, prithviraj sukumaran, vedika, anaika soti"
dhuruvangal pathinaaru,"action, crime, mystery",karthick naren,"rahman, prakash raghavan, sharath kumar, santhosh krishna"
vidiyum munn,thriller,balaji k. kumar,"pooja umashankar, malavika manikuttan, vinoth kishan, lakshmi ramakrishnan"
indru netru naalai,"comedy, sci-fi, thriller",r. ravikumar,"vishnu vishal, mia george, karunakaran, v. jayaprakash"
raam,"action, drama, mystery",ameer sultan,"jiiva, saranya ponvannan, gajala, rahman"
thanga meengal,drama,ram,"ram, sadhana, shelly nabu kumar, rohini"
pisasu,horror,myshkin,"naga, prayaga martin, radha ravi, raj kumar"
kurangu bommai,"drama, thriller",nithilan,"vidharth, bharathiraja, delna davis, thenappan p.l."
naan kadavul,"action, drama",bala,"arya, pooja umashankar, motta rajendran, krishnamoorthy"
uriyadi,"action, thriller",vijay kumar,"vijay kumar, chandru, mime gopi, citizen sivakumar"
kaadhal,romance,balaji sakthivel,"bharath srinivasan, sandhya, sukumar, kadhal thandapani"
moodar koodam,"comedy, drama, musical",naveen,"naveen, sendrayan, rajaj, kuberan"
madras,"action, drama",pa. ranjith,"karthi, catherine tresa, kalaiyarasan, jayabalan"
aramm,drama,gopi nainar,"nayanthara, ramachandran durairaj, sunu lakshmi, kitty"
kuttrame thandanai,"crime, drama, mystery",m. manikandan,"vidharth, pooja devariya, aishwarya rajesh, rahman"
yutham sei,"crime, drama, mystery",myshkin,"cheran, ananyaa shah, y.g. mahendran, lakshmi ramakrishnan"
azhagi,"drama, romance",thangar bachan,"parthiban, nandita das, devayani, sayaji shinde"
iraivi,"crime, drama",karthik subbaraj,"s.j. suryah, vijay sethupathi, bobby simha, anjali"
oru kidayin karunai manu,drama,suresh sangaiah,"raveena ravi, vidharth"
taramani,"drama, romance",ram,"anjali, dongli jumbo, andrea jeremiah, venkateshbalaji"
attakathi,"comedy, romance",pa. ranjith,"dinesh, nandita shwetha, aishwarya rajesh, shalini"
8 thottakkal,"action, crime, thriller",sri ganesh,"vetri, aparna balamurali, nassar, m.s. bhaskar"
veyyil,drama,vasanthabalan,"pasupathy, bharath srinivasan, bhavana, priyanka nair"
pannaiyarum padminiyum,"comedy, drama",s.u. arun kumar,"vijay sethupathi, v. jayaprakash, tulasi, aishwarya rajesh"
13b: fear has a new address,"drama, horror, mystery",vikram k. kumar,"madhavan, neetu chandra, poonam dhillon, saranya ponvannan"
thegidi,"crime, mystery, thriller",p. ramesh,"ashok selvan, janani iyer, v. jayaprakash, jayakumar"
poo,drama,sasi,"parvathy thiruvothu, aiden grech, alex moore, srikanth"
engeyum eppodhum,"comedy, drama, family",m. saravanan,"jai, sharwanand, anjali, ananya"
jeeva,"drama, sport",suseenthiran,"vishnu vishal, sri divya, soori, lakshman narayan"
satham podathey,thriller,vasanth,"jagan, nassar, padmapriya, nitin sathya"
vennila kabadi kuzhu,"drama, sport",suseenthiran,"vishnu vishal, saranya mohan, kishore kumar g., soori"
peraanmai,"action, adventure, drama",s.p. jhananathan,"jayam ravi, saranya nag, vasundhara kashyap, dhansika"
mynaa,"action, romance",prabu solomon,"vidharth, amala paul, thambi ramaiah, sethu"
thadayara thakka,"action, thriller",magizh thirumeni,"arun vijay, mamta mohandas, rakul preet singh, vamsi krishna"
haridas,"drama, sport, thriller",kumaravelan,"kishore kumar g., sneha, prithviraj das, soori"
neer paravai,drama,seenu ramasamy,"vishnu vishal, sunaina, nandita das, samuthirakani"
maya,"horror, thriller",ashwin saravanan,"nayanthara, aari, amzath khan, lakshmi priyaa chandramouli"
aravaan,"action, adventure, drama",vasanthabalan,"aadhi, pasupathy, dhansika, archana kavi"
oru naal koothu,"comedy, drama",nelson venkatesan,"dinesh, nivetha pethuraj, mia george, riythvika"
naadodigal,"action, comedy, drama",samuthirakani,"m. sasikumar, vijay vasanth, bharani, ananya"
kuttram kadithal,drama,bramma g.,"master ajay, radhika prasidhha, sai rajkumar, pavel navageethan"
maayavan,"action, mystery, sci-fi",c.v. kumar,"sundeep kishan, lavanya tripathi, agaran, augustine"
metro,"action, crime, thriller",ananda krishnan,"shirish, sathya, bobby simha, sendrayan"
boss engira baskaran,comedy,m. rajesh,"arya, nayanthara, santhanam, subbu panchu"
meyaadha maan,romance,rathna kumar,"vaibhav reddy, priya bhavani shankar, vivek prasanna, indhuja ravichandran"
dharmadurai,drama,seenu ramasamy,"vijay sethupathi, tamannaah bhatia, aishwarya rajesh, srushti dange"
crime 23,"action, crime, thriller",arivazhagan venkatachalam,"arun vijay, abhinaya, aishwarya, aravind akash"
maragatha nananya,"adventure, comedy, fantasy",ark saravan,"aadhi, anandraj, m.s. baskar, m.s. bhaskar"
mundaasupatti,"comedy, drama, romance",ram kumar,"vishnu vishal, nandita shwetha, anand raj, kaali venkat"
demonte colony,"horror, thriller",r. ajay gnanamuthu,"arulnithi, ramesh thilak, sananth reddy, m.s. bhaskar"
ko,"action, thriller",k.v. anand,"jiiva, ajmal ameer, karthika nair, piaa bajpai"
azhagar samiyin kuthirai,drama,suseenthiran,"appukutty, saranya mohan, prabhakar, advaitha"
evano oruvan,"drama, thriller",nishikant kamat,"madhavan, sangeetha, seeman, devadarshini chetan"
kirumi,crime,anucharan,"charlie, david solomon raja, marimuthu, tamilselvi"
madha yaanai koottam,"drama, thriller",vikram sugumaran,"kathir, anju, viji chandrashekhar, v. jayaprakash"
sarabham,mystery,arun mohan,"naveen chandra, salony luthra, aadukalam naren, kadhal kannan"
the house next door,horror,milind rau,"prakash belawadi, khushi hajare, andrea jeremiah, atul kulkarni"
iyarkai,romance,s.p. jhananathan,"sima bisvas, chinnijayanth, karunas, radhika kumaraswamy"
rangoon,"action, crime, drama",rajkumar periasamy,"gautham karthik, lallu, sana makbul, prashant nair"
thamizh padam,comedy,c.s. amudhan,"shiva, disha pandey, venniradai moorthy, manobala"
adhe kangal,"action, thriller",rohin venkatesan,"r. aravindraj, abishek joseph george, janani iyer, kalaiyarasan"
96,"drama, romance",c. prem kumar,"vijay sethupathi, trisha krishnan, varsha bollamma, adithya bhaskar"
ratsasan,"action, crime, thriller",ram kumar,"vishnu vishal, radha ravi, sangili murugan, nizhalgal ravi"
mahanati,"biography, drama",nag ashwin,"keerthy suresh, dulquer salmaan, samantha ruth prabhu, vijay deverakonda"
coco kokila,"comedy, crime, drama",nelson,"nayanthara, saranya ponvannan, saravanan, yogi babu"
to let,family,chezhian ra,"dharun bala, t. arul ezhilan, mk mani, marudhu mohan"
petta,"action, drama",karthik subbaraj,"rajinikanth, vijay sethupathi, nawazuddin siddiqui, m. sasikumar"
idharkuthane aasaipattai balakumara,comedy,gokul,"vijay sethupathi, ashwin kakumanu, swathi reddy, nandita shwetha"
darling,"comedy, horror",sam anton,"g.v. prakash kumar, nikki galrani, srushti dange, karunas"
irandam ulagam,"action, fantasy, romance",k. selvaraghavan,"arya, anushka shetty, jaya bachchan, venkatesh harinathan"
kalam,"drama, horror, mystery",robert raaj,"lakshmi priyaa chandramouli, amzath khan, srinivasan, madhusudhan rao"
kanithan,"action, thriller",t. santhosh,"atharvaa murali, catherine tresa, tarun arora, bhagyaraj"
maaveeran kittu,"action, drama",suseenthiran,"sri divya, parthiban, soori, vishnu vishal"
miruthan,"action, horror",shakti soundar rajan,"jayam ravi, lakshmi menon, kaali venkat, r.n.r. manohar"
naan avanillai,"crime, drama, thriller",selva,"'university' jeevan, sneha, namitha, malavikka"
raja manthiri,"comedy, drama",usha krishnan,"anandhi, gajaraj, nadodigal gopal, kalaiyarasan"
sethu boomi,"action, drama, romance",kenthiran muniasami,"junior balaiya, cheranraj, thaman kumar, kenthiran muniasami"
sethupathi,"action, thriller",s.u. arun kumar,"vijay sethupathi, ramya nambeeshan, vela ramamoorthy, girrish"
tamilselvanum thaniyar anjalum,"action, romance, thriller",premsai,"vtv ganesh, yami gautam, jai, prem kumar"
tharkappu,"action, thriller",r.p. ravi,"amita ranganath, vatsan chakravarthy, vaishali deepak, riyaz khan"
girls,"horror, thriller",thulasidas,"nadia moidu, iniya, archana suseelan"
urumeen,"action, fantasy, thriller",sakthivel perumalsamy,"bobby simha, kalaiyarasan, reshmi menon, sandra amy"
vellaiya irukiravan poi solla maatan,comedy,a.l. abanindran,"praveen kumar, naren, pazhani, bala saravanan"
vetrivel,drama,vasantha mani,"m. sasikumar, mia george, prabhu, viji chandrashekhar"
damaal dumeel,"comedy, crime, drama",shree,"vaibhav reddy, ramya nambeeshan, sayaji shinde, srinivasa rao kota"
kadal,"drama, romance",mani ratnam,"arjun sarja, arvind swamy, gautham karthik, thulasi nair"
salim,"action, thriller",n.v. nirmal kumar,"vijay antony, aksha pardasany, r.n.r. manohar, p.v. chandramouli"
piriyatha varam vendum,"drama, romance",kamal,"prashanth, shalini, jomol, krishna"
sundara,"comedy, drama, family",s. prabhakaran,"m. sasikumar, lakshmi menon, vijay sethupathi, appukutty"
tharai thappattai,"action, drama, musical",bala,"m. sasikumar, varalaxmi sarathkumar, g.m. kumar, r.k. suresh"
trisha illana nayanthara,comedy,adhik ravichandran,"g.v. prakash kumar, anandhi, manisha yadav, simran"
180,"drama, romance",jayendra,"siddharth, nithya menon, priya anand, tanikella bharani"
arasu dharbar,drama,joone,"sarath kumar, simran, delhi ganesh"
boologam,action,n. kalyanakrishnan,"jayam ravi, trisha krishnan, prakash raj, nathan jones"
malini 22,"drama, thriller",sripriya,"nithya menon, krrish, kovai sarala, vidyullekha raman"
pooja,"action, drama",hari,"vishal, shruti haasan, sathyaraj, soori"
achamindri,thriller,rajapandi,"devadarshini chetan, srushti dange, karunas, saranya ponvannan"
achcham yenbadhu madamaiyada,"action, romance, thriller",gautham vasudev menon,"t.r. silambarasan, manjima mohan, baba sehgal, daniel balaji"
devi(l),"comedy, horror",a.l. vijay,"tamannaah bhatia, prabhu deva, sonu sood, amy jackson"
jayasurya,"action, thriller",suseenthiran,"vishal, kajal aggarwal, samuthirakani, soori"
isai,"musical, romance, thriller",s.j. suryah,"s.j. suryah, sathyaraj, sulagna panigrahi, thambi ramaiah"
komban,"action, drama",m. muthaiah,"karthi, lakshmi menon, raj kiran, karunas"
rekka,action,rathina shiva,"kishore kumar g., sathish krishnan, lakshmi menon, lian nasser"
naan mahaan alla,"action, crime, drama",suseenthiran,"karthi, kajal aggarwal, v. jayaprakash, krishna priya"
kathakali,"action, thriller",pandiraj,"vishal, catherine tresa, karunas, imman annachi"
kidaari,action,prasath murugesan,"nadodigal gopal, shobha mohan, napolean, hareesh peradi"
maruthu,"action, drama",m. muthaiah,"vishal, sri divya, r.k. suresh, kulappulli leela"
muthina kathirika,"comedy, drama",venkat raghavan,"yogi babu, poonam bajwa, sundar c., vtv ganesh"
nimirndhu nil,"action, drama",samuthirakani,"jayam ravi, sarath kumar, amala paul, ragini dwivedi"
kayal,romance,prabu solomon,"chandran, anandhi, vincent, gemini rajeshwari"
chandi veeran,"action, drama, romance",a. sarkunam,"atharvaa murali, anandhi, lal, bose venkat"
yaamirukka bayamey,"comedy, horror",deekay,"krishna sekhar, rupa manjari, karunakaran, oviya"
vaayai moodi pesavum,"comedy, drama, romance",balaji mohan,"dulquer salmaan, nazriya nazim, madhoo, r. pandiaraajan"
cuckoo,"drama, romance",raju murugan,"dinesh, malavika nair, elango, somasundaram"
naan sigappu manithan,"action, drama, thriller",thiru,"vishal, lakshmi menon, iniya, saranya ponvannan"
tamiluku en ondrai aluthavum,"comedy, sci-fi, thriller",ramprakash rayappa,"nakhul, dinesh, bindhu madhavi, aishwarya dutta"
aadama jaichomada,comedy,badri,"karunakaran, vijayalakshmi agathiyan, bobby simha, balaji"
ammani,"drama, family",lakshmi ramakrishnan,"semmalar annam, manas bhaskaran, sri mahesh, manas"
katha solla porom,comedy,kalyaan,"arun aravind, aadukalam naren, kaali venkat"
maan karate,"comedy, drama",thirukumaran,"sivakarthikeyan, hansika motwani, soori, vamsi krishna"
rum,horror,sai bharath,"arjun chidambaram, mia george, hrishikesh, amzath khan"
kotigobba 2,"action, drama, thriller",k.s. ravikumar,"sudeep, nithya menon, prakash raj, p. ravi shankar"
vaaimai,drama,a. senthil kumar,"shanthnu bhagyaraj, manoj k. bharathi, muktha george, goundamani"
enakku innoru per irukku,"action, comedy, crime",sam anton,"g.v. prakash kumar, anandhi, nirosha, saravanan"
game,"action, mystery, thriller",a.m.r. ramesh,"arjun sarja, manisha koirala, shaam, aqsa bhatt"
tutak tutak tutiya,"comedy, horror",a.l. vijay,"rj balaji, tamannaah bhatia, prabhu deva, karishma gulati"
bangalore naatkal,drama,bhaskar,"arya, sri divya, bobby simha, rana daggubati"
kaashmora,"action, comedy, fantasy",gokul,"karthi, nayanthara, sri divya, vivek"
lightman,drama,g. venkatesh kumar,"karthik nagarajan, jennifer, vasagan, govindaswaminathan"
meen kuzhambum mann paanaiyum,"comedy, fantasy",amudeshver,"balaji, santhana bharathi, m.s. bhaskar, thalapathi dinesh"
rudhramadevi,"action, biography, history",gunasekhar,"anushka shetty, allu arjun, rana daggubati, vikramjeet virk"
thirunaal,"action, drama, romance",ramnath,"jiiva, nayanthara, karunas, meenakshi"
uchathula shiva,action,jaypee,"ilavarasu, kanal kannan, karan, ramesh khanna"
uyire.. uyire..,"drama, romance",a.r. rajasekar,"siddhu, hansika motwani, ajay, aadukalam naren"
dhilluku dhuddu,"comedy, horror",rambala,"santhanam, shanaya, karunas, motta rajendran"
enga amma rani,action,s. bani,"dhansika, anil murali, namo narayana, varnika"
lens,"drama, mystery, thriller",jayaprakash radhakrishnan,"anand sami, jayaprakash radhakrishnan, misha ghoshal, kulothungan udayakumar"
pulimurugan,action,vysakh,"mohanlal, jagapathi babu, kamalinee mukherjee, lal"
radiopetti,drama,hari viswanath,"nivas adithan, lakshmanan koratur, shobana mohan, ramanujam tvv"
vanamagan,"action, adventure",a.l. vijay,"arjun, akhilesh krishna, prakash raj, shanmugha rajan"
yeidhavan,"action, crime, drama",sakthi rajasekaran,"sandra amy, gautham, kalaiyarasan, krishna kumar"
kathanayagan,comedy,tha. muruganatham,"meera krishna, saranya ponvannan, vijay sethupathi, catherine tresa"
revelations,drama,vijay jayapal,"arpita banerjee, lakshmi priyaa chandramouli, chetan, aanantharaman karthik"
vasuki,"mystery, thriller",a.k. sajan,"nayanthara, mammootty, sheelu abraham, roshan mathew"
puriyaatha puthir,thriller,ranjit jeyakodi,"vijay sethupathi, gayathrie, mahima nambiar, ramesh thilak"
dashing detective,"action, crime, thriller",myshkin,"vishal, prasanna, vinay rai, anu emmanuel"
kappal,"comedy, romance",karthik g. krish,"vaibhav reddy, sonam bajwa, karunakaran, vtv ganesh"
bogan,"action, thriller",lakshman,"jayam ravi, arvind swamy, hansika motwani, nassar"
maruthamalai,action,viswanathan ravichandran,"arjun sarja, meera chopra, vadivelu, raghuvaran"
poriyaalan,"drama, thriller",thanukumar,"anandhi, delhi ganesh, harish kalyan, achuta kumar"
aambala,"action, comedy",sundar c.,"vishal, hansika motwani, prabhu, vaibhav reddy"
sathuran,thriller,k. rajeev prasad,"raju easwaran, rajaj, varsha, kaali venkat"
engeyum kadhal,romance,prabhu deva,"jayam ravi, hansika motwani, suman, raju sundaram"
english karan,comedy,sakthi chidambaram,"sathyaraj, namitha, madhumitha, vadivelu"
vaalu,"comedy, romance",vijay chandar,"t.r. silambarasan, hansika motwani, santhanam, vtv ganesh"
khaidi,"action, thriller",lokesh kanagaraj,"karthi, narain, ramana, george maryan"
jilla,comedy,nelson,"joseph vijay, mohanlal, nivetha thomas"
naveenasaras,comedy,rajaji,"nivetha thomas, jai"
